名前,英語名前,全国図鑑番号,ガラル図鑑番号,特性,タイプ,身長,体重,技
ローブシン,Conkeldurr,534,173,こんじょう/ちからずく/てつのこぶし,かくとう,1.4m,87.0kg,10まんばりき/あなをほる/あまごい/いばる/いびき/いわおとし/いわくだき/いわなだれ/うちおとす/おんがえし/かいりき/かげぶんしん/かたきうち/かみなりパンチ/からげんき/かわらわり/がまん/がんせきふうじ/きあいだま/きあいだめ/きあいパンチ/きしかいせい/きつけ/きりばらい/くさむすび/けたぐり/こらえる/こわいかお/しっぺがえし/じしん/じだんだ/じならし/たたきつける/ちょうはつ/てだすけ/とおせんぼう/どくづき/どくどく/ないしょばなし/なげつける/なしくずし/にほんばれ/にらみつける/ねごと/ねむる/はかいこうせん/はたきおとす/はたく/はっけい/ばかぢから/ばくれつパンチ/ひみつのちから/ふるいたてる/ぶんまわす/ほのおのパンチ/まもる/みがわり/みきり/みやぶる/めざましビンタ/めざめるパワー/やつあたり/りんしょう/れいとうパンチ/れんぞくパンチ/アームハンマー/インファイト/カウンター/ギガインパクト/グロウパンチ/ストーンエッジ/ドレインパンチ/ビルドアップ/マッハパンチ/メガトンキック/メガトンパンチ/メロメロ/リベンジ/ロックブラスト/ローキック/ワイドガード
オタマロ,Tympole,535,132,すいすい/うるおいボディ/ちょすい,みず,0.5m,4.5kg,あまごい/あられ/あわ/いばる/いびき/いやなおと/おさきにどうぞ/おんがえし/かげぶんしん/からげんき/がむしゃら/こごえるかぜ/こらえる/さわぐ/しろいきり/じたばた/だいちのちから/だくりゅう/ちょうおんぱ/とびはねる/どくどく/どろあそび/どろかけ/どろばくだん/ないしょばなし/なきごえ/なみのり/ねごと/ねっとう/ねむる/ひみつのちから/まとわりつく/まもる/みがわり/みずのはどう/めざめるパワー/やつあたり/ようかいえき/りんしょう/アクアリング/ウェザーボール/エコーボイス/ハイドロポンプ/ハイパーボイス/バブルこうせん/ヘドロばくだん/ヘドロウェーブ/ベノムトラップ/マッドショット/メロメロ/リフレッシュ
ガマガル,Palpitoad,536,133,すいすい/うるおいボディ/ちょすい,みず/じめん,0.8m,17.0kg,あまごい/あられ/あわ/いえき/いばる/いびき/いやなおと/いわくだき/おさきにどうぞ/おんがえし/かげぶんしん/からげんき/がむしゃら/きあいパンチ/こごえるかぜ/こらえる/さわぐ/しろいきり/じたばた/じならし/だいちのちから/だくりゅう/ちょうおんぱ/とびはねる/どくどく/どろあそび/どろかけ/どろばくだん/ないしょばなし/なきごえ/なみのり/ねごと/ねっとう/ねむる/ひみつのちから/まとわりつく/まもる/みがわり/みずのはどう/めざめるパワー/やつあたり/ようかいえき/りんしょう/アクアリング/ウェザーボール/エコーボイス/ステルスロック/ハイドロポンプ/ハイパーボイス/バブルこうせん/パワーウィップ/ヘドロばくだん/ヘドロウェーブ/ベノムトラップ/マッドショット/メロメロ/リフレッシュ
ガマゲロゲ,Seismitoad,537,134,すいすい/どくしゅ/ちょすい,みず/じめん,1.5m,62.0kg,あなをほる/あまごい/あられ/あわ/いえき/いばる/いびき/いやなおと/いわくだき/いわなだれ/おさきにどうぞ/おんがえし/かいりき/かげぶんしん/からげんき/かわらわり/がむしゃら/がんせきふうじ/きあいだま/きあいパンチ/くさむすび/けたぐり/こごえるかぜ/こらえる/さわぐ/しっぺがえし/しろいきり/じしん/じたばた/じだんだ/じならし/だいちのちから/だくりゅう/ちょうおんぱ/とびはねる/どくづき/どくどく/どろあそび/どろかけ/どろばくだん/ないしょばなし/なきごえ/なげつける/なみのり/ねごと/ねっとう/ねむる/はかいこうせん/はたきおとす/ひみつのちから/まとわりつく/まもる/みがわり/みずのはどう/めざめるパワー/やつあたり/ようかいえき/りんしょう/れいとうパンチ/アクアブレイク/アクアリング/ウェザーボール/エコーボイス/ギガインパクト/グロウパンチ/ステルスロック/ダイビング/ドレインパンチ/ハイドロポンプ/ハイパーボイス/バブルこうせん/パワーウィップ/ヘドロばくだん/ヘドロウェーブ/ベノムショック/ベノムトラップ/マッドショット/メガトンキック/メガトンパンチ/メロメロ/リフレッシュ
ナゲキ,Throh,538,248,こんじょう/せいしんりょく/かたやぶり,かくとう,1.3m,55.5kg,あてみなげ/あなをほる/あまごい/いたみわけ/いばる/いびき/いわくだき/いわなだれ/おんがえし/かいりき/かげぶんしん/かたきうち/かみなりパンチ/からげんき/かわらわり/がまん/がんせきふうじ/きあいだま/きあいだめ/きあいパンチ/きしかいせい/くさむすび/けたぐり/こらえる/こわいかお/しっぺがえし/しねんのずつき/しめつける/じしん/じだんだ/じならし/たたみがえし/ちきゅうなげ/ちょうはつ/てだすけ/とおせんぼう/とぎすます/ともえなげ/どくづき/どくどく/ないしょばなし/なげつける/にほんばれ/にらみつける/ねごと/ねむる/のしかかり/はたきおとす/ばかぢから/ひみつのちから/ふるいたてる/ほのおのパンチ/まもる/みがわり/めざめるパワー/やつあたり/やまあらし/りんしょう/れいとうパンチ/ギガインパクト/グロウパンチ/ストーンエッジ/ビルドアップ/メガトンキック/メガトンパンチ/メロメロ/リベンジ/ローキック/ワイドガード
ダゲキ,Sawk,539,249,がんじょう/せいしんりょく/かたやぶり,かくとう,1.4m,51.0kg,あなをほる/あまごい/いたみわけ/いばる/いびき/いわくだき/いわなだれ/おんがえし/かいりき/かげぶんしん/かたきうち/かみなりパンチ/からげんき/からてチョップ/かわらわり/がまん/がんせきふうじ/きあいだま/きあいだめ/きあいパンチ/きしかいせい/くさむすび/けたぐり/こらえる/こわいかお/しっぺがえし/しねんのずつき/じごくづき/じしん/じならし/ちょうはつ/てだすけ/とおせんぼう/とぎすます/どくづき/どくどく/ないしょばなし/なげつける/にどげり/にほんばれ/にらみつける/ねごと/ねむる/はたきおとす/ばかぢから/ひみつのちから/ふるいたてる/ほのおのパンチ/まもる/みがわり/めざめるパワー/やつあたり/りんしょう/れいとうパンチ/インファイト/カウンター/ギガインパクト/グロウパンチ/ストーンエッジ/ダブルチョップ/ビルドアップ/ファストガード/メガトンキック/メガトンパンチ/メロメロ/リベンジ/ローキック
ペルシアン,Persian,53,-1,ファーコート/テクニシャン/びびり,あく,1.1m,33.0kg,10まんボルト/あくのはどう/あなをほる/あまえる/あまごい/いちゃもん/いばる/いびき/いやなおと/うそなき/うらみ/おしおき/おだてる/おんがえし/かげぶんしん/かたきうち/かみつく/かみなり/からげんき/きりさく/こごえるかぜ/こらえる/さいみんじゅつ/さきおくり/さしおさえ/さわぐ/しっぺがえし/じこあんじ/じごくづき/じたばた/じゃれつく/すてゼリフ/すりかえ/だましうち/ちょうはつ/つじぎり/つばめがえし/でんげきは/とっておき/とんぼがえり/どくどく/どろぼう/ないしょばなし/なきごえ/にほんばれ/ねこだまし/ねこのて/ねごと/ねむる/のしかかり/はかいこうせん/はたきおとす/ひっかく/ふくろだたき/ふるいたてる/ほえる/ほしがる/まもる/みがわり/みずのはどう/みだれひっかき/めざめるパワー/やつあたり/ゆうわく/ゆめくい/よこどり/りんしょう/わるだくみ/アイアンテール/イカサマ/エコーボイス/ギガインパクト/シャドークロー/シャドーボール/スピードスター/タネばくだん/ダストシュート/ダメおし/ドわすれ/ネコにこばん/ハイパーボイス/バークアウト/パワージェム/フェイント/メロメロ
コダック,Psyduck,54,-1,しめりけ/ノーてんき/すいすい,みず,0.8m,19.6kg,あくび/あなをほる/あまごい/あやしいひかり/あられ/いかり/いばる/いびき/いやなおと/いわくだき/うずしお/おんがえし/かいりき/かげぶんしん/かなしばり/からげんき/かわらわり/がまん/きあいパンチ/こごえるかぜ/こらえる/さいみんじゅつ/しおみず/しぜんのめぐみ/しっぽをふる/しねんのずつき/じこあんじ/じごくぐるま/すてみタックル/ずつき/たきのぼり/ちきゅうなげ/つばめがえし/つめとぎ/とっしん/どくどく/どろあそび/どろかけ/どろばくだん/ないしょばなし/なげつける/なみのり/なやみのタネ/なりきり/ねごと/ねっとう/ねむる/ねんりき/のしかかり/のろい/ばくれつパンチ/ひかりのかべ/ひっかく/ひみつのちから/ふぶき/まもる/みがわり/みずあそび/みずでっぽう/みずのはどう/みずびたし/みだれひっかき/みやぶる/みらいよち/めいそう/めざめるパワー/ものまね/やつあたり/ゆうわく/りんしょう/れいとうパンチ/れいとうビーム/アイアンテール/アクアテール/アンコール/カウンター/クリアスモッグ/クロスチョップ/グロウパンチ/サイケこうせん/サイコキネシス/サイコショック/シグナルビーム/シャドークロー/シンクロノイズ/シンプルビーム/スピードスター/ダイビング/テレキネシス/ドわすれ/ネコにこばん/ハイドロポンプ/バブルこうせん/フラッシュ/メガトンキック/メガトンパンチ/メロメロ/リフレッシュ/ロケットずつき/ワンダールーム
クルミル,Sewaddle,540,-1,むしのしらせ/ようりょくそ/ぼうじん,むし/くさ,0.3m,2.5kg,いあいぎり/いとをはく/いばる/いびき/いやなおと/おんがえし/かげぶんしん/かまいたち/からげんき/ぎんいろのかぜ/くさむすび/こうごうせい/こうそくいどう/こころのめ/こらえる/さきどり/しぜんのちから/しっぺがえし/しんぴのまもり/じたばた/たいあたり/てっぺき/どくどく/ないしょばなし/なやみのタネ/にほんばれ/ねごと/ねばねばネット/ねむる/はっぱカッター/ひかりのかべ/ひみつのちから/ほごしょく/まもる/みがわり/むしくい/むしのさざめき/むしのていこう/めいそう/めざめるパワー/やつあたり/ゆめくい/りんしょう/エアスラッシュ/エナジーボール/エレキネット/ギガドレイン/グラスフィールド/シグナルビーム/ソーラービーム/タネばくだん/バトンタッチ/フラッシュ/マジックコート/メロメロ
クルマユ,Swadloon,541,-1,リーフガード/ようりょくそ/ぼうじん,むし/くさ,0.5m,7.3kg,いあいぎり/いとをはく/いばる/いびき/いやなおと/おんがえし/かげぶんしん/かまいたち/からげんき/ぎんいろのかぜ/くさぶえ/くさむすび/こうごうせい/こうそくいどう/こころのめ/こらえる/さきどり/しぜんのちから/しっぺがえし/しんぴのまもり/じたばた/たいあたり/てっぺき/どくどく/ないしょばなし/なやみのタネ/にほんばれ/ねごと/ねばねばネット/ねむる/はっぱカッター/ひかりのかべ/ひみつのちから/ほごしょく/まもる/みがわり/むしくい/むしのさざめき/むしのていこう/めいそう/めざめるパワー/やつあたり/ゆめくい/りんしょう/エアスラッシュ/エナジーボール/エレキネット/ギガドレイン/グラスフィールド/シグナルビーム/ソーラービーム/タネばくだん/バトンタッチ/フラッシュ/マジックコート/メロメロ
ハハコモリ,Leavanny,542,-1,むしのしらせ/ようりょくそ/ぼうじん,むし/くさ,1.2m,20.5kg,いあいぎり/いとをはく/いばる/いびき/いやしのすず/いやなおと/おんがえし/かげぶんしん/かたきうち/かまいたち/からげんき/きりさく/ぎんいろのかぜ/くさぶえ/くさむすび/こうごうせい/こうそくいどう/こころのめ/こらえる/さきどり/しぜんのちから/しっぺがえし/しんぴのまもり/じごくづき/じたばた/たいあたり/つばめがえし/つめとぎ/つるぎのまい/てだすけ/てっぺき/とぎすます/とどめばり/どくづき/どくどく/ないしょばなし/なかまづくり/なやみのタネ/にほんばれ/ねごと/ねばねばネット/ねむる/はかいこうせん/はがねのつばさ/はたきおとす/はっぱカッター/ひかりのかべ/ひみつのちから/ほごしょく/まもる/みがわり/みねうち/むしくい/むしのさざめき/むしのていこう/めいそう/めざめるパワー/やつあたり/ゆめくい/りんしょう/エアスラッシュ/エナジーボール/エレキネット/ギガインパクト/ギガドレイン/グラスフィールド/シグナルビーム/シザークロス/シャドークロー/ソーラービーム/タネばくだん/バトンタッチ/フラッシュ/マジックコート/メロメロ/リフレクター/リーフストーム/リーフブレード
フシデ,Venipede,543,-1,どくのトゲ/むしのしらせ/かそく,むし/どく,0.4m,5.3kg,いばる/いびき/いやなおと/いわくだき/おいうち/おんがえし/かげぶんしん/からげんき/がむしゃら/こうそくいどう/ころがる/しっぺがえし/すてみタックル/てっぺき/とっしん/どくづき/どくどく/どくばり/どくびし/ないしょばなし/にほんばれ/ねごと/ねむる/ひみつのちから/まきびし/まとわりつく/まもる/まるくなる/みがわり/むしくい/むしのていこう/めざめるパワー/やつあたり/りんしょう/シグナルビーム/ジャイロボール/ソーラービーム/ダブルニードル/ハードローラー/ヘドロばくだん/ベノムショック/ベノムトラップ/ポイズンテール/ミサイルばり/メロメロ/ロッククライム
ホイーガ,Whirlipede,544,-1,どくのトゲ/むしのしらせ/かそく,むし/どく,1.2m,58.5kg,いばる/いびき/いやなおと/いわくだき/おいうち/おんがえし/かげぶんしん/からげんき/がむしゃら/こうそくいどう/ころがる/しっぺがえし/すてみタックル/てっぺき/とっしん/どくづき/どくどく/どくばり/どくびし/ないしょばなし/にほんばれ/ねごと/ねむる/ひみつのちから/まきびし/まとわりつく/まもる/まるくなる/みがわり/むしくい/むしのていこう/めざめるパワー/やつあたり/りんしょう/シグナルビーム/ジャイロボール/ソーラービーム/ダブルニードル/ハードローラー/ヘドロばくだん/ベノムショック/ベノムトラップ/ポイズンテール/ミサイルばり/メロメロ/ロッククライム
ペンドラー,Scolipede,545,-1,どくのトゲ/むしのしらせ/かそく,むし/どく,2.5m,200.5kg,あなをほる/いあいぎり/いばる/いびき/いやなおと/いわくだき/いわなだれ/おいうち/おんがえし/かいりき/かげぶんしん/からげんき/がむしゃら/がんせきふうじ/こうそくいどう/ころがる/しっぺがえし/じごくづき/じしん/じだんだ/じならし/すてみタックル/つるぎのまい/てっぺき/とっしん/どくづき/どくどく/どくばり/どくびし/ないしょばなし/にほんばれ/ねごと/ねむる/はかいこうせん/ばかぢから/ひみつのちから/まきびし/まとわりつく/まもる/まるくなる/みがわり/むしくい/むしのていこう/めざめるパワー/やつあたり/よこどり/りんしょう/アイアンテール/アクアテール/ギガインパクト/シグナルビーム/シザークロス/ジャイロボール/スマートホーン/ソーラービーム/ダブルニードル/ハードローラー/バトンタッチ/ヘドロばくだん/ベノムショック/ベノムトラップ/ポイズンテール/ミサイルばり/メガホーン/メロメロ/ロッククライム
モンメン,Cottonee,546,262,いたずらごころ/すりぬけ/ようりょくそ,くさ/フェアリー,0.3m,0.6kg,あまえる/いばる/いびき/うそなき/おいかぜ/おきみやげ/おんがえし/かげぶんしん/からげんき/がむしゃら/きりばらい/くさぶえ/くさむすび/くすぐる/こらえる/しぜんのちから/しぜんのめぐみ/しびれごな/しんぴのまもり/すいとる/すりかえ/せいちょう/ちょうはつ/てだすけ/どくどく/どくのこな/ないしょばなし/なやみのタネ/にほんばれ/ねごと/ねむる/はたきおとす/はっぱカッター/ひみつのちから/ふくろだたき/ほしがる/まもる/みがわり/めざめるパワー/やつあたり/やどりぎのタネ/ゆうわく/ゆめくい/ようせいのかぜ/りんしょう/わたほうし/アンコール/エナジーボール/ギガドレイン/グラスフィールド/コットンガード/スピードスター/ソーラービーム/タネばくだん/フラッシュ/マジカルシャイン/ミストフィールド/メガドレイン/メロメロ
エルフーン,Whimsicott,547,263,いたずらごころ/すりぬけ/ようりょくそ,くさ/フェアリー,0.7m,6.6kg,あまえる/いばる/いびき/うそなき/おいかぜ/おきみやげ/おんがえし/かげぶんしん/かぜおこし/からげんき/がむしゃら/きりばらい/くさぶえ/くさむすび/くすぐる/こらえる/しぜんのちから/しぜんのめぐみ/しびれごな/しんぴのまもり/じゃれつく/すいとる/すりかえ/せいちょう/ちょうはつ/てだすけ/とんぼがえり/どくどく/どくのこな/どろぼう/ないしょばなし/なげつける/なやみのタネ/にほんばれ/ねごと/ねむる/はかいこうせん/はたきおとす/はっぱカッター/ひかりのかべ/ひみつのちから/ふくろだたき/ほしがる/ぼうふう/まもる/みがわり/めざめるパワー/やつあたり/やどりぎのタネ/ゆうわく/ゆめくい/ようせいのかぜ/りんしょう/わたほうし/アンコール/エナジーボール/ギガインパクト/ギガドレイン/グラスフィールド/コットンガード/サイコキネシス/シャドーボール/スピードスター/ソーラービーム/タネばくだん/トリックルーム/フラッシュ/マジカルシャイン/ミストフィールド/ムーンフォース/メガドレイン/メロメロ
チュリネ,Petilil,548,-1,ようりょくそ/マイペース/リーフガード,くさ,0.5m,6.6kg,あまいかおり/あまえる/いあいぎり/いばる/いびき/いやしのすず/いやしのねがい/おさきにどうぞ/おんがえし/かげぶんしん/からげんき/がまん/くさぶえ/くさむすび/こうごうせい/こらえる/しぜんのちから/しぜんのめぐみ/しびれごな/しんぴのまもり/すいとる/せいちょう/てだすけ/とぎすます/どくどく/ないしょばなし/なかまづくり/なやみのタネ/にほんばれ/ねごと/ねむりごな/ねむる/ねをはる/ひみつのちから/ほしがる/まもる/みがわり/めざめるパワー/やつあたり/やどりぎのタネ/ゆめくい/りんしょう/アロマセラピー/アンコール/エナジーボール/ギガドレイン/ソーラービーム/タネばくだん/フラッシュ/マジカルリーフ/メガドレイン/メロメロ/リーフストーム
ドレディア,Lilligant,549,-1,ようりょくそ/マイペース/リーフガード,くさ,1.1m,16.3kg,あまいかおり/あまえる/いあいぎり/いばる/いびき/いやしのすず/いやしのねがい/おさきにどうぞ/おんがえし/かげぶんしん/からげんき/がまん/くさぶえ/くさむすび/こうごうせい/こらえる/しぜんのちから/しぜんのめぐみ/しびれごな/しんぴのまもり/すいとる/せいちょう/ちょうのまい/つるぎのまい/てだすけ/とぎすます/どくどく/ないしょばなし/なかまづくり/なやみのタネ/なりきり/にほんばれ/ねごと/ねむりごな/ねむる/ねをはる/はかいこうせん/はなびらのまい/はなふぶき/ひかりのかべ/ひみつのちから/ほしがる/まもる/みがわり/めざめるパワー/やつあたり/やどりぎのタネ/ゆめくい/りんしょう/アロマセラピー/アンコール/エナジーボール/ギガインパクト/ギガドレイン/ソーラービーム/タネばくだん/フラッシュ/フラフラダンス/マジカルリーフ/メガドレイン/メロメロ/リーフストーム
ゴルダック,Golduck,55,-1,しめりけ/ノーてんき/すいすい,みず,1.7m,76.6kg,あくび/あなをほる/あまえる/あまごい/あやしいひかり/あられ/いかり/いばる/いびき/いやなおと/いわくだき/うずしお/おんがえし/かいりき/かげぶんしん/かなしばり/からげんき/かわらわり/がまん/きあいだま/きあいパンチ/けたぐり/こごえるかぜ/こらえる/さいみんじゅつ/さきどり/しおみず/しぜんのめぐみ/しっぽをふる/しねんのずつき/じこあんじ/じごくぐるま/すてみタックル/ずつき/たきのぼり/ちきゅうなげ/つばめがえし/つめとぎ/とぎすます/とっしん/どくどく/どろあそび/どろかけ/どろばくだん/ないしょばなし/なげつける/なみのり/なやみのタネ/なりきり/ねごと/ねっとう/ねむる/ねんりき/のしかかり/のろい/はかいこうせん/ばくれつパンチ/ひかりのかべ/ひっかく/ひみつのちから/ふぶき/まもる/みがわり/みずあそび/みずでっぽう/みずのはどう/みずびたし/みだれひっかき/みやぶる/みらいよち/めいそう/めざめるパワー/ものまね/やつあたり/ゆうわく/りんしょう/れいとうパンチ/れいとうビーム/れんぞくぎり/アイアンテール/アクアジェット/アクアテール/アクアブレイク/アンコール/カウンター/ギガインパクト/クリアスモッグ/クロスチョップ/グロウパンチ/サイケこうせん/サイコキネシス/サイコショック/シグナルビーム/シャドークロー/シンクロノイズ/シンプルビーム/スピードスター/ダイビング/テレキネシス/ドわすれ/ネコにこばん/ハイドロポンプ/バブルこうせん/フラッシュ/メガトンキック/メガトンパンチ/メロメロ/リフレッシュ/ロケットずつき/ロッククライム/ローキック/ワンダールーム
バスラオ,Basculin,550,154,すてみ/てきおうりょく/かたやぶり,みず,1.0m,18.0kg,あばれる/あまごい/あられ/いあいぎり/いかり/いのちがけ/いばる/いびき/うずしお/おんがえし/かげぶんしん/かみくだく/かみつく/からげんき/がむしゃら/きしかいせい/こうそくいどう/こおりのキバ/こごえるかぜ/こらえる/こわいかお/さわぐ/しおみず/しっぽをふる/しねんのずつき/じたばた/すてみタックル/ずつき/たいあたり/たきのぼり/だくりゅう/ちょうはつ/とっしん/とびはねる/どくどく/ないしょばなし/なしくずし/なみのり/ねごと/ねっとう/ねむる/ばかぢから/ひみつのちから/まもる/みがわり/みずでっぽう/みずびたし/めざめるパワー/もろはのずつき/やつあたり/りんしょう/れいとうビーム/アクアジェット/アクアテール/アクアブレイク/サイコファング/スピードスター/ダイビング/ダメおし/ハイドロポンプ/バブルこうせん/マッドショット/メロメロ/リベンジ
バスラオ,Basculin,550,154,いしあたま/てきおうりょく/かたやぶり,みず,1.0m,18.0kg,あばれる/あまごい/あられ/いあいぎり/いかり/いのちがけ/いばる/いびき/うずしお/おんがえし/かげぶんしん/かみくだく/かみつく/からげんき/がむしゃら/きしかいせい/こうそくいどう/こおりのキバ/こごえるかぜ/こらえる/こわいかお/さわぐ/しおみず/しっぽをふる/しねんのずつき/じたばた/すてみタックル/ずつき/たいあたり/たきのぼり/だくりゅう/ちょうはつ/とっしん/とびはねる/どくどく/ないしょばなし/なしくずし/なみのり/ねごと/ねっとう/ねむる/ばかぢから/ひみつのちから/まもる/みがわり/みずでっぽう/みずびたし/めざめるパワー/もろはのずつき/やつあたり/りんしょう/れいとうビーム/アクアジェット/アクアテール/アクアブレイク/サイコファング/スピードスター/ダイビング/ダメおし/ハイドロポンプ/バブルこうせん/マッドショット/メロメロ/リベンジ
メグロコ,Sandile,551,-1,いかく/じしんかじょう/いかりのつぼ,じめん/あく,0.7m,15.2kg,あくのはどう/あなをほる/あばれる/いあいぎり/いかり/いちゃもん/いばる/いびき/いわなだれ/うらみ/おいうち/おんがえし/かげぶんしん/かたきうち/かみくだく/かみつく/かみなりのキバ/からげんき/がんせきふうじ/きあいだめ/くろいまなざし/こわいかお/さきどり/さしおさえ/さわぐ/しっぺがえし/じしん/じならし/すてみタックル/すなあらし/すなかけ/すなじごく/だいちのちから/ちょうはつ/つけあがる/つめとぎ/どくどく/どろかけ/どろぼう/ないしょばなし/にらみつける/ねごと/ねむる/ひみつのちから/ふくろだたき/ほえる/ほのおのキバ/まもる/みがわり/めざめるパワー/やきつくす/やつあたり/よこどり/りんしょう/アイアンテール/アクアテール/イカサマ/カウンター/ステルスロック/ストーンエッジ/ダメおし/バークアウト/ヘドロばくだん/メロメロ/ロッククライム
ワルビル,Krokorok,552,-1,いかく/じしんかじょう/いかりのつぼ,じめん/あく,1.0m,33.4kg,あくのはどう/あなをほる/あばれる/いあいぎり/いかり/いちゃもん/いばる/いびき/いわくだき/いわなだれ/うらみ/おいうち/おんがえし/かいりき/かげぶんしん/かたきうち/かみくだく/かみつく/かみなりのキバ/からげんき/かわらわり/がんせきふうじ/きあいだめ/きあいパンチ/くさむすび/くろいまなざし/けたぐり/こわいかお/さきどり/さしおさえ/さわぐ/しっぺがえし/じしん/じならし/すてみタックル/すなあらし/すなかけ/すなじごく/だいちのちから/ちょうはつ/つけあがる/つめとぎ/どくどく/どろかけ/どろぼう/ないしょばなし/なげつける/にらみつける/ねごと/ねむる/はたきおとす/ひみつのちから/ふくろだたき/ぶんまわす/ほえる/ほのおのキバ/まもる/みがわり/めざめるパワー/やきつくす/やつあたり/よこどり/りんしょう/アイアンテール/アクアテール/イカサマ/カウンター/グロウパンチ/シャドークロー/ステルスロック/ストーンエッジ/ダメおし/バークアウト/ヘドロばくだん/メロメロ/ロッククライム/ローキック
ワルビアル,Krookodile,553,-1,いかく/じしんかじょう/いかりのつぼ,じめん/あく,1.5m,96.3kg,あくのはどう/あなをほる/あばれる/いあいぎり/いかり/いちゃもん/いばる/いびき/いわくだき/いわなだれ/うちおとす/うらみ/おいうち/おんがえし/かいりき/かげぶんしん/かたきうち/かみくだく/かみつく/かみなりのキバ/からげんき/かわらわり/がんせきふうじ/きあいだま/きあいだめ/きあいパンチ/くさむすび/くろいまなざし/けたぐり/げきりん/こわいかお/さきどり/さしおさえ/さわぐ/しっぺがえし/じごくづき/じしん/じだんだ/じならし/すてみタックル/すなあらし/すなかけ/すなじごく/だいちのちから/ちょうはつ/つけあがる/つばめがえし/つめとぎ/とおせんぼう/どくどく/どろかけ/どろぼう/ないしょばなし/なげつける/にらみつける/ねごと/ねむる/はかいこうせん/はたきおとす/ばかぢから/ひみつのちから/ふくろだたき/ぶんまわす/ほえる/ほのおのキバ/まもる/みがわり/めざめるパワー/やきつくす/やつあたり/よこどり/りゅうのはどう/りんしょう/アイアンテール/アクアテール/イカサマ/カウンター/ギガインパクト/グロウパンチ/シャドークロー/ステルスロック/ストーンエッジ/ダメおし/ドラゴンクロー/ドラゴンテール/バークアウト/ビルドアップ/ヘドロばくだん/メロメロ/ロッククライム/ローキック
ダルマッカ,Darumaka,554,-1,はりきり/せいしんりょく,ほのお,0.6m,37.5kg,あくび/あなをほる/あばれる/いかり/いばる/いびき/いわくだき/いわなだれ/おにび/おんがえし/かいりき/かえんぐるま/かえんほうしゃ/かげぶんしん/かみつく/からげんき/かわらわり/がむしゃら/がんせきふうじ/きあいだめ/きあいパンチ/くさむすび/こらえる/ころがる/さわぐ/しねんのずつき/じんつうりき/ずつき/たいあたり/だいもんじ/ちょうはつ/とっしん/とんぼがえり/どくどく/どろぼう/ないしょばなし/なげつける/にほんばれ/ねごと/ねっぷう/ねむる/はらだいこ/ばかぢから/ひのこ/ひみつのちから/ふるいたてる/ほえる/ほのおのうず/ほのおのキバ/ほのおのパンチ/まもる/みがわり/めざめるパワー/やきつくす/やつあたり/よこどり/りんしょう/アンコール/アームハンマー/オーバーヒート/グロウパンチ/ジャイロボール/ソーラービーム/ニトロチャージ/フレアドライブ/メガトンキック/メガトンパンチ/メロメロ
ダルマッカ,Darumaka,554,367,はりきり/せいしんりょく,こおり,0.7m,40.0kg,あくび/あなをほる/あばれる/いびき/いわなだれ/おにび/かえんぐるま/かえんほうしゃ/かみつく/からげんき/かわらわり/がんせきふうじ/きあいだめ/きあいパンチ/くさむすび/こおりのキバ/こなゆき/こらえる/さわぐ/しねんのずつき/ずつき/たいあたり/だいもんじ/ちょうはつ/とっしん/とんぼがえり/どろぼう/なげつける/にほんばれ/ねごと/ねっぷう/ねむる/はらだいこ/ばかぢから/ふぶき/ふるいたてる/ほのおのうず/ほのおのキバ/ほのおのパンチ/まもる/みがわり/やきつくす/ゆきなだれ/りんしょう/れいとうパンチ/れいとうビーム/アンコール/アームハンマー/オーバーヒート/グロウパンチ/ジャイロボール/ソーラービーム/フリーズドライ/フレアドライブ/メガトンキック/メガトンパンチ/メロメロ
ヒヒダルマ,Darmanitan,555,-1,ちからずく/ダルマモード,ほのお,1.3m,92.9kg,あくび/あなをほる/あばれる/いかり/いちゃもん/いばる/いびき/いわくだき/いわなだれ/うちおとす/おにび/おんがえし/かいりき/かえんぐるま/かえんほうしゃ/かげぶんしん/かみつく/からげんき/かわらわり/がむしゃら/がんせきふうじ/きあいだま/きあいだめ/きあいパンチ/きしかいせい/くさむすび/こらえる/ころがる/さわぐ/しっぺがえし/しねんのずつき/じしん/じならし/じんつうりき/ずつき/たいあたり/だいもんじ/ちょうはつ/てっぺき/とぎすます/とっしん/とんぼがえり/どくどく/どろぼう/ないしょばなし/なげつける/にほんばれ/ねごと/ねっぷう/ねむる/のしかかり/はかいこうせん/はらだいこ/ばかぢから/ひのこ/ひみつのちから/ふるいたてる/ほえる/ほのおのうず/ほのおのキバ/ほのおのパンチ/まもる/みがわり/みらいよち/めざめるパワー/やきつくす/やつあたり/よこどり/りんしょう/アイアンヘッド/アンコール/アームハンマー/オーバーヒート/ガードスワップ/ギガインパクト/グロウパンチ/サイコキネシス/ジャイロボール/ストーンエッジ/ソーラービーム/トリック/ニトロチャージ/パワースワップ/ビルドアップ/フレアドライブ/ボディプレス/マジカルフレイム/メガトンキック/メガトンパンチ/メロメロ
